HOUR,Bat1
0.08333333333333333,0.26436638751636
0.16666666666666666,0.3039497208496933
0.25,0.34353305418302665
0.3333333333333333,0.38311638751635996
0.41666666666666663,0.42269972084969326
0.49999999999999994,0.46228305418302656
0.5833333333333334,0.5018663875163599
0.6666666666666666,0.5414497208496932
0.75,0.5810330541830265
0.8333333333333334,0.6206163875163598
0.9166666666666666,0.6601997208496931
1.0,0.6997830541830264
1.0833333333333333,0.7393663875163597
1.1666666666666665,0.778949720849693
1.2499999999999998,0.8185330541830264
1.3333333333333333,0.8581163875163598
1.4166666666666665,0.8976997208496931
1.4999999999999998,0.9372830541830264
1.5833333333333333,0.9768663875163598
1.6666666666666665,1.0
1.7499999999999998,1.0
